filename,date,cloud_coverage
LC08_L2SP_147038_20140405_02_T1.tif,2014-04-05 05:24:24.559287+00:00,43.55
LC08_L2SP_147038_20140320_02_T1.tif,2014-03-20 05:24:39.884173+00:00,15.72
LC08_L2SP_147038_20140216_02_T1.tif,2014-02-16 05:25:04.537375+00:00,5.66
LC08_L2SP_147038_20140131_02_T1.tif,2014-01-31 05:25:18.612711+00:00,9.1
LC08_L2SP_147038_20140115_02_T1.tif,2014-01-15 05:25:23.255469+00:00,11.17
LC08_L2SP_147038_20151220_02_T1.tif,2015-12-20 05:24:22.671430+00:00,19.8
LC08_L2SP_147038_20151204_02_T1.tif,2015-12-04 05:24:22.526537+00:00,10.09
LC08_L2SP_147038_20151118_02_T1.tif,2015-11-18 05:24:22.085999+00:00,4.99
LC08_L2SP_147038_20151102_02_T1.tif,2015-11-02 05:24:20.959512+00:00,41.72
LC08_L2SP_147038_20151017_02_T1.tif,2015-10-17 05:24:15.161960+00:00,4.2
LC08_L2SP_147038_20151001_02_T1.tif,2015-10-01 05:24:15.025173+00:00,3.18
LC08_L2SP_147038_20150915_02_T1.tif,2015-09-15 05:24:10.010269+00:00,6.02
LC08_L2SP_147038_20150830_02_T1.tif,2015-08-30 05:24:02.341544+00:00,11.24
LC08_L2SP_147038_20150814_02_T1.tif,2015-08-14 05:23:56.182413+00:00,64.94
LC08_L2SP_147038_20150729_02_T1.tif,2015-07-29 05:23:50.900209+00:00,23.78
LC08_L2SP_147038_20150713_02_T1.tif,2015-07-13 05:23:46.015081+00:00,47.69
LC08_L2SP_147038_20150627_02_T1.tif,2015-06-27 05:23:34.723956+00:00,5.56
LC08_L2SP_147038_20150611_02_T1.tif,2015-06-11 05:23:29.252759+00:00,23.95
LC08_L2SP_147038_20150526_02_T1.tif,2015-05-26 05:23:18.119403+00:00,21.34
LC08_L2SP_147038_20150510_02_T1.tif,2015-05-10 05:23:18.328297+00:00,16.6
LC08_L2SP_147038_20150424_02_T1.tif,2015-04-24 05:23:34.225226+00:00,3.77
LC08_L2SP_147038_20150408_02_T1.tif,2015-04-08 05:23:36.678645+00:00,47.19
LC08_L2SP_147038_20150323_02_T1.tif,2015-03-23 05:23:46.820573+00:00,0.69
LC08_L2SP_147038_20150307_02_T1.tif,2015-03-07 05:23:56.079227+00:00,69.49
LC08_L2SP_147038_20150219_02_T2.tif,2015-02-19 05:24:02.948298+00:00,100.0
LC08_L2SP_147038_20150203_02_T2.tif,2015-02-03 05:24:10.586359+00:00,70.73
LC08_L2SP_147038_20150118_02_T1.tif,2015-01-18 05:24:14.312365+00:00,0.65
LC08_L2SP_147038_20150102_02_T1.tif,2015-01-02 05:24:15.888227+00:00,51.29
LC08_L2SP_147038_20161222_02_T1.tif,2016-12-22 05:24:28.292420+00:00,4.78
LC08_L2SP_147038_20161206_02_T1.tif,2016-12-06 05:24:33.055803+00:00,1.82
LC08_L2SP_147038_20161120_02_T1.tif,2016-11-20 05:24:34.590988+00:00,14.91
LC08_L2SP_147038_20161104_02_T1.tif,2016-11-04 05:24:34.715673+00:00,10.01
LC08_L2SP_147038_20161019_02_T1.tif,2016-10-19 05:24:34.554263+00:00,1.17
LC08_L2SP_147038_20161003_02_T1.tif,2016-10-03 05:24:29.484679+00:00,7.69
LC08_L2SP_147038_20160917_02_T1.tif,2016-09-17 05:24:28.177282+00:00,11.97
LC08_L2SP_147038_20160901_02_T1.tif,2016-09-01 05:24:25.267879+00:00,46.06
LC08_L2SP_147038_20160816_02_T1.tif,2016-08-16 05:24:18.470375+00:00,19.58
LC08_L2SP_147038_20160731_02_T1.tif,2016-07-31 05:24:15.065288+00:00,59.58
LC08_L2SP_147038_20160715_02_T1.tif,2016-07-15 05:24:11.242246+00:00,76.02
LC08_L2SP_147038_20160629_02_T1.tif,2016-06-29 05:24:03.837280+00:00,36.64
LC08_L2SP_147038_20160613_02_T1.tif,2016-06-13 05:23:55.759610+00:00,20.89
LC08_L2SP_147038_20160528_02_T1.tif,2016-05-28 05:23:52.712212+00:00,21.74
LC08_L2SP_147038_20160512_02_T1.tif,2016-05-12 05:23:45.900252+00:00,9.88
LC08_L2SP_147038_20160426_02_T1.tif,2016-04-26 05:23:45.752218+00:00,8.7
LC08_L2SP_147038_20160410_02_T1.tif,2016-04-10 05:23:51.171615+00:00,84.49
LC08_L2SP_147038_20160325_02_T1.tif,2016-03-25 05:23:58.099044+00:00,32.19
LC08_L2SP_147038_20160309_02_T1.tif,2016-03-09 05:24:06.335366+00:00,38.62
LC08_L2SP_147038_20160222_02_T1.tif,2016-02-22 05:24:07.716860+00:00,1.33
LC08_L2SP_147038_20160206_02_T1.tif,2016-02-06 05:24:15.425517+00:00,22.32
LC08_L2SP_147038_20160121_02_T1.tif,2016-01-21 05:24:19.310185+00:00,13.97
LC08_L2SP_147038_20160105_02_T1.tif,2016-01-05 05:24:18.814996+00:00,15.52
LC08_L2SP_147038_20171225_02_T1.tif,2017-12-25 05:24:25.386297+00:00,11.65
LC08_L2SP_147038_20171209_02_T1.tif,2017-12-09 05:24:22.785692+00:00,7.22
LC08_L2SP_147038_20171123_02_T1.tif,2017-11-23 05:24:25.929371+00:00,26.77
LC08_L2SP_147038_20171107_02_T1.tif,2017-11-07 05:24:31.074739+00:00,2.14
LC08_L2SP_147038_20171022_02_T1.tif,2017-10-22 05:24:32.314117+00:00,15.9
LC08_L2SP_147038_20171006_02_T1.tif,2017-10-06 05:24:29.770913+00:00,1.99
LC08_L2SP_147038_20170920_02_T1.tif,2017-09-20 05:24:23.424131+00:00,5.01
LC08_L2SP_147038_20170904_02_T1.tif,2017-09-04 05:24:20.664911+00:00,17.64
LC08_L2SP_147038_20170819_02_T2.tif,2017-08-19 05:24:18.075951+00:00,28.56
LC08_L2SP_147038_20170803_02_T1.tif,2017-08-03 05:24:12.794768+00:00,81.36
LC08_L2SP_147038_20170718_02_T2.tif,2017-07-18 05:24:05.177260+00:00,90.08
LC08_L2SP_147038_20170702_02_T1.tif,2017-07-02 05:24:01.007993+00:00,37.98
LC08_L2SP_147038_20170616_02_T1.tif,2017-06-16 05:23:56.778092+00:00,30.35
LC08_L2SP_147038_20170531_02_T2.tif,2017-05-31 05:23:49.902994+00:00,94.63
LC08_L2SP_147038_20170515_02_T1.tif,2017-05-15 05:23:39.969803+00:00,10.31
LC08_L2SP_147038_20170429_02_T1.tif,2017-04-29 05:23:32.018340+00:00,39.72
LC08_L2SP_147038_20170413_02_T1.tif,2017-04-13 05:23:42.699134+00:00,2.36
LC08_L2SP_147038_20170328_02_T1.tif,2017-03-28 05:23:50.223232+00:00,29.22
LC08_L2SP_147038_20170312_02_T1.tif,2017-03-12 05:23:59.459811+00:00,3.7
LC08_L2SP_147038_20170224_02_T1.tif,2017-02-24 05:24:07.545436+00:00,2.04
LC08_L2SP_147038_20170208_02_T1.tif,2017-02-08 05:24:12.624722+00:00,90.18
LC08_L2SP_147038_20170123_02_T1.tif,2017-01-23 05:24:20.835847+00:00,2.08
LC08_L2SP_147038_20170107_02_T2.tif,2017-01-07 05:24:25.732214+00:00,99.97
LC08_L2SP_147038_20181228_02_T1.tif,2018-12-28 05:24:06.728653+00:00,10.46
LC08_L2SP_147038_20181212_02_T2.tif,2018-12-12 05:24:06.492451+00:00,96.3
LC08_L2SP_147038_20181126_02_T1.tif,2018-11-26 05:24:09.791093+00:00,2.99
LC08_L2SP_147038_20181110_02_T1.tif,2018-11-10 05:24:10.137295+00:00,4.44
LC08_L2SP_147038_20181025_02_T1.tif,2018-10-25 05:24:07.509707+00:00,5.23
LC08_L2SP_147038_20181009_02_T1.tif,2018-10-09 05:24:02.129892+00:00,43.34
LC08_L2SP_147038_20180923_02_T2.tif,2018-09-23 05:23:54.056464+00:00,31.78
LC08_L2SP_147038_20180907_02_T1.tif,2018-09-07 05:23:49.335040+00:00,50.97
LC08_L2SP_147038_20180822_02_T1.tif,2018-08-22 05:23:43.372177+00:00,63.59
LC08_L2SP_147038_20180806_02_T2.tif,2018-08-06 05:23:35.026268+00:00,84.89
LC08_L2SP_147038_20180721_02_T2.tif,2018-07-21 05:23:26.540535+00:00,88.93
